Zip|IncomeRange|NumberOfReturns
10014|$100,000 under $200,000|4790
11235|$100,000 under $200,000|4790
11704|$25,000 under $50,000|4790
11104|$1 under $25,000|4770
11222|$25,000 under $50,000|4760
11422|$25,000 under $50,000|4760
11213|$50,000 under $75,000|4750
14213|$1 under $25,000|4750
11101|$100,000 under $200,000|4730
10022|$100,000 under $200,000|4720
12303|$1 under $25,000|4720
13027|$1 under $25,000|4720
10019|$1 under $25,000|4710
11735|$1 under $25,000|4710
10128|$50,000 under $75,000|4700
11717|$50,000 under $75,000|4700
11429|$1 under $25,000|4690
10016|$1 under $25,000|4680
11801|$25,000 under $50,000|4680
13021|$25,000 under $50,000|4680
14221|$25,000 under $50,000|4680
11554|$100,000 under $200,000|4670
13208|$1 under $25,000|4670
10704|$1 under $25,000|4650
11566|$100,000 under $200,000|4640
11710|$100,000 under $200,000|4630
11787|$100,000 under $200,000|4630
10314|$75,000 under $100,000|4620
11757|$100,000 under $200,000|4620
11793|$100,000 under $200,000|4620
11361|$1 under $25,000|4610
11758|$25,000 under $50,000|4610
11222|$50,000 under $75,000|4590
11561|$100,000 under $200,000|4590
11743|$200,000 or more|4590
11218|$50,000 under $75,000|4570
13501|$25,000 under $50,000|4570
10003|$1 under $25,000|4560
10031|$50,000 under $75,000|4550
11210|$50,000 under $75,000|4540
11530|$200,000 or more|4540
13090|$1 under $25,000|4530
10026|$25,000 under $50,000|4520
10562|$1 under $25,000|4520
11205|$25,000 under $50,000|4520
12603|$100,000 under $200,000|4520
10465|$25,000 under $50,000|4510
11542|$1 under $25,000|4510
12020|$1 under $25,000|4510
10011|$1 under $25,000|4500
10016|$25,000 under $50,000|4500
11561|$1 under $25,000|4490
11102|$25,000 under $50,000|4480
13905|$1 under $25,000|4470
10010|$200,000 or more|4460
11218|$100,000 under $200,000|4450
13601|$25,000 under $50,000|4450
10461|$50,000 under $75,000|4430
11763|$1 under $25,000|4430
11105|$25,000 under $50,000|4410
12065|$25,000 under $50,000|4410
12401|$25,000 under $50,000|4410
14424|$1 under $25,000|4410
11217|$100,000 under $200,000|4400
10468|$50,000 under $75,000|4390
10305|$25,000 under $50,000|4380
11580|$100,000 under $200,000|4380
10032|$50,000 under $75,000|4370
11234|$75,000 under $100,000|4370
11236|$100,000 under $200,000|4370
11375|$75,000 under $100,000|4370
11729|$1 under $25,000|4370
11746|$200,000 or more|4370
14226|$1 under $25,000|4370
10002|$100,000 under $200,000|4360
11553|$25,000 under $50,000|4360
11756|$25,000 under $50,000|4360
11787|$1 under $25,000|4360
12804|$1 under $25,000|4360
11801|$100,000 under $200,000|4350
11228|$25,000 under $50,000|4340
10473|$50,000 under $75,000|4330
11423|$25,000 under $50,000|4330
10452|$50,000 under $75,000|4300
11367|$25,000 under $50,000|4300
11779|$100,000 under $200,000|4300
10456|$50,000 under $75,000|4290
11385|$75,000 under $100,000|4280
