Batsman,Result,TeamState,n,Reviews
DAJ Bracewell,Umpire's call,Batting,1,6
DAJ Bracewell,Upheld,Batting,3,6
DAS Gunaratne,Struck down,Bowling,2,2
DG Brownlie,Struck down,Batting,1,2
DG Brownlie,Struck down,Bowling,1,2
DG Brownlie,Upheld,Batting,1,2
DG Brownlie,Upheld,Bowling,1,2
DJ Bravo,Struck down,Batting,1,1
DJ Malan,Struck down,Bowling,8,9
DJ Malan,Umpire's call,Batting,2,3
DJ Malan,Upheld,Batting,1,3
DJ Malan,Upheld,Bowling,1,9
DJ Mitchell,Struck down,Batting,1,1
DJG Sammy,Struck down,Batting,3,3
DJG Sammy,Struck down,Bowling,1,2
DJG Sammy,Upheld,Bowling,1,2
DL Vettori,Struck down,Bowling,1,1
DM Bess,Struck down,Bowling,1,3
DM Bess,Umpire's call,Bowling,1,3
DM Bess,Upheld,Bowling,1,3
DM Bravo,Struck down,Batting,7,9
DM Bravo,Struck down,Bowling,8,9
DM Bravo,Upheld,Batting,2,9
DM Bravo,Upheld,Bowling,1,9
DM de Silva,Struck down,Batting,2,6
DM de Silva,Struck down,Bowling,3,9
DM de Silva,Umpire's call,Bowling,1,9
DM de Silva,Upheld,Batting,4,6
DM de Silva,Upheld,Bowling,5,9
DP Sibley,Struck down,Batting,3,5
DP Sibley,Struck down,Bowling,3,6
DP Sibley,Umpire's call,Bowling,3,6
DP Sibley,Upheld,Batting,2,5
DPMD Jayawardene,Struck down,Batting,5,7
DPMD Jayawardene,Struck down,Bowling,7,8
DPMD Jayawardene,Upheld,Batting,2,7
DPMD Jayawardene,Upheld,Bowling,1,8
DR Flynn,Struck down,Batting,1,1
DR Flynn,Struck down,Bowling,1,1
DS Smith,Struck down,Batting,1,1
DS Smith,Struck down,Bowling,3,4
DS Smith,Upheld,Bowling,1,4
DW Steyn,Struck down,Bowling,4,4
DW Steyn,Umpire's call,Batting,1,2
DW Steyn,Upheld,Batting,1,2
Ebadat Hossain,Struck down,Batting,1,1
EJG Morgan,Struck down,Batting,1,2
EJG Morgan,Struck down,Bowling,1,3
EJG Morgan,Upheld,Batting,1,2
EJG Morgan,Upheld,Bowling,2,3
EJM Cowan,Struck down,Batting,3,3
EJM Cowan,Struck down,Bowling,1,1
F du Plessis,Struck down,Batting,11,18
