"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"111","11","20","18","1","1","61.11","4","caught","3","v South Africa","Port Elizabeth","9 Mar 2018"
"112","5","19","18","1","0","27.77","4","caught","2","v South Africa","Cape Town","22 Mar 2018"
"113","7","29","21","0","1","33.33","4","caught","4","v South Africa","Cape Town","22 Mar 2018"
"114","144","336","219","16","2","65.75","4","bowled","1","v England","Birmingham","1 Aug 2019"
"115","142","326","207","14","0","68.59","4","caught","3","v England","Birmingham","1 Aug 2019"
"116","92","264","161","14","0","57.14","4","lbw","2","v England","Lord's","14 Aug 2019"
"117","sub","-","-","-","-","-","-","-","4","v England","Lord's","14 Aug 2019"
"118","211","513","319","24","2","66.14","4","caught","1","v England","Manchester","4 Sep 2019"
"119","82","155","92","11","0","89.13","4","caught","3","v England","Manchester","4 Sep 2019"
"120","80","261","145","9","1","55.17","4","lbw","2","v England","The Oval","12 Sep 2019"
"121","23","88","53","4","0","43.39","4","caught","4","v England","The Oval","12 Sep 2019"
"122","4","17","10","1","0","40.00","4","bowled","2","v Pakistan","Brisbane","21 Nov 2019"
"123","36","121","64","2","0","56.25","4","caught","1","v Pakistan","Adelaide","29 Nov 2019"
"124","43","190","164","4","0","26.21","4","caught","1","v New Zealand","Perth","12 Dec 2019"
"125","16","40","28","3","0","57.14","4","caught","3","v New Zealand","Perth","12 Dec 2019"
"126","85","354","242","8","1","35.12","4","caught","1","v New Zealand","Melbourne","26 Dec 2019"
"127","7","17","11","1","0","63.63","4","caught","3","v New Zealand","Melbourne","26 Dec 2019"
"128","63","217","182","4","0","34.61","4","caught","1","v New Zealand","Sydney","3 Jan 2020"
"129","DNB","-","-","-","-","-","-","-","3","v New Zealand","Sydney","3 Jan 2020"
"130","1","45","29","0","0","3.44","4","caught","2","v India","Adelaide","17 Dec 2020"
"131","1*","5","1","0","0","100.00","4","not out","4","v India","Adelaide","17 Dec 2020"
"132","0","10","8","0","0","0.00","4","caught","1","v India","Melbourne","26 Dec 2020"
"133","8","53","30","0","0","26.66","4","bowled","3","v India","Melbourne","26 Dec 2020"
"134","131","303","226","16","0","57.96","4","run out","1","v India","Sydney","7 Jan 2021"
"135","81","261","167","8","1","48.50","4","lbw","3","v India","Sydney","7 Jan 2021"
"136","36","115","77","5","0","46.75","4","caught","1","v India","Brisbane","15 Jan 2021"
"137","55","123","74","7","0","74.32","4","caught","3","v India","Brisbane","15 Jan 2021"
